VAR,Variable,UNIT,Measure,COU,Country,YEA,Year,Value,Flag Codes,Flags,Continent
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,1993,1993,10.2,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,1994,1994,10,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,1995,1995,9.8,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,1996,1996,10,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,1997,1997,10.2,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,1998,1998,10,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,1999,1999,10,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,2000,2000,10.2,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,2001,2001,10,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,2002,2002,10.4,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,2003,2003,10.3,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,2004,2004,10.5,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,2005,2005,10.5,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,2006,2006,10.8,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,2007,2007,10.8,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,2008,2008,10.6,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,2009,2009,10.5,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,2010,2010,10.3,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,2011,2011,10,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,2012,2012,9.9,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,2013,2013,9.8,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,2014,2014,9.5,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,2015,2015,9.7,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,1960,1960,8.9,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,1961,1961,9.3,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,1962,1962,9.7,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,1963,1963,9.8,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,1964,1964,10.7,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,1965,1965,11.6,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,1966,1966,12.4,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,1967,1967,13.1,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,1968,1968,13.2,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,1969,1969,13,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,1970,1970,13.4,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,1971,1971,13.6,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,1972,1972,14.2,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,1973,1973,14.6,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,1974,1974,14.5,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,1975,1975,14.1,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,1976,1976,14.3,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,1977,1977,14.2,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,1978,1978,14,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,1979,1979,13.4,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,1980,1980,13.6,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,1981,1981,13.5,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,1982,1982,13.5,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,1983,1983,14,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,1984,1984,13.9,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,1985,1985,13.3,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,1986,1986,13.6,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,1987,1987,13.5,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,1988,1988,13.7,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,1989,1989,13.9,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,1990,1990,13.9,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,1991,1991,14.1,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,1992,1992,13.6,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,1993,1993,13.5,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,1994,1994,12.5,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,1995,1995,13.4,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,1996,1996,13.5,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,1997,1997,12.9,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,1998,1998,12.9,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,1999,1999,12.8,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,2000,2000,13.2,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,2001,2001,12.4,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,2002,2002,12.5,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,2003,2003,12.2,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,2004,2004,12.1,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,2005,2005,12.4,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,2006,2006,12.4,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,2007,2007,12.5,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,2008,2008,12,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,2009,2009,11.3,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,2010,2010,12.1,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,2011,2011,11.9,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,2012,2012,12.1,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,2013,2013,11.6,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,2014,2014,12.2,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUT,Austria,2015,2015,11.4,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,1963,1963,9.9,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,1964,1964,10.5,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,1965,1965,10.8,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,1966,1966,10.3,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,1967,1967,10.7,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,1968,1968,11.2,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,1969,1969,11.5,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,1970,1970,12.4,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,1971,1971,12.6,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,1972,1972,13,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,1973,1973,13.8,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,1974,1974,13.4,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,1975,1975,13.5,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,1976,1976,13.6,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,1977,1977,13.5,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,1978,1978,13.4,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,1979,1979,13.6,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,1980,1980,14,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,1981,1981,13.3,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,1982,1982,13.7,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,1983,1983,13.6,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,1984,1984,13.3,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,1985,1985,13.1,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,1986,1986,12.7,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,1987,1987,13.2,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,1988,1988,12.5,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,1989,1989,11.6,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,1990,1990,12.2,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,1991,1991,11.4,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,1992,1992,11.7,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,1993,1993,11.7,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,1994,1994,11.1,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,1995,1995,11,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,1996,1996,10.9,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,1997,1997,10.9,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,1998,1998,9.9,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,1999,1999,10.1,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,2000,2000,11.3,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,2001,2001,11.1,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,2002,2002,11.3,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,2003,2003,11.3,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,2004,2004,12.1,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,2005,2005,12.2,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,2006,2006,10.9,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,2007,2007,10.3,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,2008,2008,10.5,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,2009,2009,10.1,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,2010,2010,10.3,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,2011,2011,10.1,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,2012,2012,10.1,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,2013,2013,10.3,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,2014,2014,10.6,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),BEL,Belgium,2015,2015,10.4,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,1960,1960,7,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,1961,1961,7.1,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,1962,1962,7.3,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,1963,1963,7.5,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,1964,1964,7.6,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,1965,1965,7.8,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,1966,1966,8.1,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,1967,1967,8.3,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,1968,1968,8.3,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,1969,1969,8.5,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,1970,1970,8.8,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,1971,1971,9.4,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,1972,1972,9.9,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,1973,1973,10.4,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,1974,1974,10.8,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,1975,1975,10.9,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,1976,1976,10.9,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,1977,1977,10.9,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,1978,1978,10.9,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,1979,1979,10.9,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,1980,1980,10.7,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,1981,1981,10.8,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,1982,1982,10.5,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,1983,1983,10.2,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,1984,1984,9.9,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,1985,1985,9.8,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,1986,1986,9.6,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,1987,1987,9.6,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,1988,1988,9.4,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,1989,1989,8.8,B,Break,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,1990,1990,8.5,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,1991,1991,8.2,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,1992,1992,7.8,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,1993,1993,7.5,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,1994,1994,7.4,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,1995,1995,7.4,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,1996,1996,7.4,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,1997,1997,7.2,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,1998,1998,7.3,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,1999,1999,7.5,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,2000,2000,7.6,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,2001,2001,7.6,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,2002,2002,7.7,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,2003,2003,7.7,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,2004,2004,7.8,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,2005,2005,8,B,Break,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,2006,2006,8.2,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,2007,2007,8.3,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,2008,2008,8.4,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,2009,2009,8.4,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,2010,2010,8.4,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,2011,2011,8.2,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,2012,2012,8.3,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,2013,2013,8.2,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,2014,2014,8,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,2015,2015,8.1,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CAN,Canada,2016,2016,8.2,,,America
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CZE,Czech Republic,1980,1980,11.7,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CZE,Czech Republic,1981,1981,12.3,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CZE,Czech Republic,1982,1982,11.9,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CZE,Czech Republic,1983,1983,12.2,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CZE,Czech Republic,1984,1984,12,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CZE,Czech Republic,1985,1985,11.7,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CZE,Czech Republic,1986,1986,11.3,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CZE,Czech Republic,1987,1987,10.4,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CZE,Czech Republic,1988,1988,10.5,,,Europe
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),CZE,Czech Republic,1989,1989,10.5,,,Europe
